 (New),(Mới)
Create Talent Pool,Thêm tiêu chí
Create Talents,
Create Task,
Create Template,Tạo mẫu
Create View,Tạo chế độ xem
Create Your First Pool,Tạo hồ bơi đầu tiên của bạn
Create Zalo Care message with image and action buttons,
Create Zalo ZNS message with action buttons,
Create a new campaign template,
Create a new candidate by filling out the form.,
Create a new data source for the system,Tạo nguồn dữ liệu mới cho hệ thống
Create a new flow template,
Create a new recruitment campaign,Tạo một chiến dịch tuyển dụng mới
Create a new talent pool from scratch.,
Create a reusable template,
Create a series of message templates to nurture your candidates over time,
Create a series of messages to nurture your candidates over time,
Create and manage reusable campaign templates for your automation workflows,
Create and send an email to the customer,
Create and send email to the candidate,
Create campaign from scratch with full customization,
Create contacts automatically,
Create content and choose where to post your attraction campaign,
Create content for recruitment campaign across multiple channels,
Create content templates for recruitment campaign across multiple channels,
Create content templates for your attraction campaign,
Create custom filtering conditions,
Create first data source,Tạo nguồn dữ liệu đầu tiên
Create new tag,
Create task,
Create the content for your campaign based on the selected interaction method,
Create with Form,
Create your first campaign,Tạo chiến dịch đầu tiên của bạn
Create your first email log to get started.,Tạo nhật ký email đầu tiên của bạn để bắt đầu.
Create your first email template,
Create your first segment to get started,Thiết lập tiêu chí đầu tiên của bạn để bắt đầu
Create your first shortlink to get started,
Create your first social media post for this campaign.,
Create your first tag to get started,
Create your first talent pool to start managing candidates,Tạo nhóm tài năng đầu tiên của bạn để bắt đầu quản lý các ứng cử viên
"Create, edit and delete posts on connected pages",
Created,Tạo
Created At,Được tạo lúc
Created By,Được tạo bởi
Created Date,Đã tạo ngày
Created Document Name,
Created From,
Created From Event Payload,
Created On,
Created Successfully,
Created at,
Created by,
Created time,
Created:,Tạo:
Creating landing page...,
Creating...,
Creative,
Creative ID / Ad ID,
Creator,
Criteria,Tiêu chuẩn
Cron expression hoặc datetime pattern cho scheduled trigger,
Cultural Fit,
Current,Hiện hành
Current Configurations,
Current QR Code,
Current Runtime Action,
Current Salary,
Current Stage,
Current Status,Trạng thái hiện tại
Current Step,Bước hiện tại
Current Step Order,Đơn đặt hàng bước hiện tại
Current status,Trạng thái hiện tại
Currently Connected Accounts,
Custom Conditions,
Custom Date,
Custom Email Template,
Custom Event,
Custom Image URL,
Custom event triggered by external system,
Custom marketing event,
Custom message for booking reminders,
Custom nurturing event,
Custom recruitment event,
Custom reminder message,
Customer Chat,
Customer will be removed from the specified sequence,
Customize content and tracking for each channel,
Customize quick filters,Tùy chỉnh bộ lọc nhanh
Cài đặt Broadcasting,
Cài đặt nâng cao,
Các quyền sau sẽ được yêu cầu khi xác thực Zalo OA:,
"Các tiêu chí dưới dạng cấu trúc để AI có thể sử dụng để tự động thêm ứng viên. VD: {""skills"": [""java"", ""spring""], ""experienceYears"": "">5""}","Các tiêu chí dưới dạng cấu trúc Để ai đó là thể sử dụng Để tự Động thênm ứng viênn. Vd: {""Kỹ năng"": [""Java"", ""Spring""], ""ExperienceYears"": ""> 5""}"
"Cách ứng viên được thêm vào Sequence (ví dụ: Manual, Flow_Trigger, Campaign_Subscription).",
Cấu hình,
Cấu hình Webhook,
Cấu hình quyền hạn chi tiết,
Cấu hình đồng bộ,
Cập nhật,Cập nhật
Cập nhật cài đặt,
Cập nhật hành động thành công,
Cập nhật hành động thất bại,
Cập nhật thất bại,
DOCUMENT_UPLOADED,Document_uploaded
DOWNLOAD_TRIGGERED,Download_triggered
DRAFT,BẢN NHÁP
DYNAMIC,NĂNG ĐỘNG
Daily,
Daily search limit,
Daily search limit should be between 1 and 1000,
Danger,Nguy hiểm
Danh sách quyền của account này,
Dashboard,Bảng điều khiển
Data,
Data Collection,
Data Source,Nguồn dữ liệu
Data Source Details,Chi tiết nguồn dữ liệu
Data refreshed,Dữ liệu được làm mới
Data refreshed successfully,Dữ liệu làm mới thành công
Data source saved successfully,
Data updated successfully,
DataSource,DataRource
Date,
Date of Birth,
Day,
Days,
Days Since,
Deadline passed,
"Dear {{ lead_name }}, \n\nThis is a reminder for the payment of {{ grand_total }}. \n\nThanks, \nFrappé",
Default,
Default Channels,
Default Event Duration,
Default LadiPage URL,
Default Tags,
Default Target Pool,
Default Template,
Default Templates,
Default duration for new event types,
Default job duration (days),
Default segment or target pool,
"Default statuses, custom fields and layouts restored successfully.","Trạng thái mặc định, trường tùy chỉnh và bố cục được khôi phục thành công."
Default timezone for bookings,
Define a new talent segment,Xác định tiêu chí mới
Define conditions to automatically filter talents for this pool,
Define conditions to filter candidates who are in this pool,
Define conditions to filter candidates who will receive your campaign,
Define the steps for this campaign template,Xác định các bước cho mẫu chiến dịch này
Delay,
Delay (Days),Độ trễ (ngày)
Delay (days),
Delay After Previous Message,
Delay Duration (minutes),
Delay In Day,Chậm trễ trong ngày
Delay In Days,Chậm trễ trong những ngày
Delay Minutes,
Delay Time,
Delay Type,
Delay before executing this action,
Delay before execution,
Delay before trigger execution,
Delay must be a non-negative number,
Delay must be between 0 and 365 days,Độ trễ phải từ 0 đến 365 ngày
Delay:,
Delete,Xóa
Delete & Restore,Xóa và khôi phục
Delete Action,
Delete Flow,
Delete Multiple Talents,
Delete Selected,Xóa đã chọn
Delete Shortlink,
Delete Step,Xóa bước
Delete Tag,
Delete Talent Pool,Xóa nhóm tài năng
Delete Template,Xóa mẫu
Delete Trigger,
Delete View,Xóa chế độ xem
Delete action,
Delete attachment,
Delete linked item,Xóa mục được liên kết
Delete or unlink linked documents,Xóa hoặc hủy liên kết các tài liệu liên kết
Delete or unlink these linked documents before deleting this document,Xóa hoặc hủy liên kết các tài liệu được liên kết này trước khi xóa tài liệu này
Delete step,Xóa bước
Delete talent,
Delete this candidate?,
Delete {0} items,Xóa các mục {0}
Deleted,
Deleted Successfully,
Deleting data source...,Xóa nguồn dữ liệu ...
Deleting this campaign will also delete all related data.,
Deleting this sequence will also delete all related data.,
Deleting...,Xóa ...
Delivered,
Department,
Department Name,
Describe the purpose of this QR code,
Describe this template...,
Describe what this template does,
Describe what this template does...,
"Describe what this template is for, e.g., Vue Developer Recruitment Campaign...",
Describe what this template is for...,
Describe what you want to achieve with this campaign...,
Description,Miêu tả
Description (optional),Mô tả (tùy chọn)
Description cannot exceed 500 characters,Mô tả không thể vượt quá 500 ký tự
Description must be less than 500 characters,Mô tả phải nhỏ hơn 500 ký tự
Description will help others understand the purpose of the segment,Mô tả sẽ giúp người khác hiểu mục đích của phân khúc
"Description, requirements, and responsibilities",
Description:,
Deselect All,Bỏ chọn tất cả
Design Content,
Design Json,Thiết kế JSON
Design your own Flow according to your ideas,
Desired Role,
Desk,Bàn làm việc
Detail Talent,
Detailed Analysis,Phân tích chi tiết
Detailed Log,
Detailed description of this pool...,
Detailed description of this segment...,Mô tả chi tiết về tiêu chí này ...
Details,Chi tiết
Device,Thiết bị
Diploma,Bằng cấp
Direct Mail,Thư trực tiếp
Direct Mail Campaign,Chiến dịch thư trực tiếp
Direct Recruitment,
Direct outreach templates for active recruitment,
Disable,Vô hiệu hóa
Discard,Loại bỏ
Disconnect,
Disconnect Fail,
Disconnect LinkedIn fail,
Disconnect successfully,
Disconnected,
Disconnecting platform...,
Display,Trưng bày
Display Name,
Display order,
Display order (default: 999),
DocType,Doctype
DocType is required,
Doctype,
Doctype To Sync,Doctype để đồng bộ hóa
Document not found,
Document updated successfully,Tài liệu được cập nhật thành công
Document will be uploaded immediately,Tài liệu sẽ được tải lên ngay lập tức
Documents,Tài liệu
Does Not Contain,
Does not contain,
Domain Expertise,
Don't forget about your upcoming appointment...,
Done,
Download,Tải xuống
Download CV,
Download Error Log,
Download Template,
Download the sample template to ensure your data is formatted correctly before uploading.,
Download the template and prepare your job opening data,
Download the template and prepare your talent data,
Downloading...,
Draft,Bản nháp
Draft Campaign,Dự thảo chiến dịch
Draft Page Selected,
Draft campaign - to be configured,Dự thảo chiến dịch - được cấu hình
Draft saved successfully,
Drag and drop PDF files here or,
Drag and drop files here or upload from,Kéo và thả tệp tại đây hoặc tải lên từ
Drag blocks from the sidebar to design your email. Click merge tags above to copy and paste into content.,
Drag to scroll horizontally,
Drop files here,Thả tập tin ở đây
Drop files here or click to upload,
Drop your Excel or CSV file here,
Dropdown Items,Các mặt hàng thả xuống
Duplicate,Nhân bản
Duplicate Count,
Duplicate Mira Talent Campaign,Trùng lặp TalentProfileScampaign
Duplicate Mira Talent Pool,
Duplicate MiraAction,
Duplicate Step,Bước trùng lặp
Duplicate Template,
Duplicate View,
Duplicate email in import file: {0},
Duplicate job title in import file: {0},
Duplicated Count,
Duplicated tag successfully,
Duration,
Duration:,Khoảng thời gian:
Dynamic,
Dữ liệu đã được cập nhật,
Dự kiến tại,
E.g: 0123456789,
E.g: 25,
"E.g: Facebook, Website",
"E.g: Hanoi, HCMC",
"E.g: Male, Female",
"E.g: Minh, Nguyen Van A",
"E.g: VIP, New customer",
E.g: minh@example.com,
EMAIL,
EMAIL_AI,
EMAIL_BOUNCED,Email_Bounced
EMAIL_DELIVERED,Email_Delivered
EMAIL_OPENED,Email_Opened
EMAIL_REPLIED,Email_Replied
EMAIL_SENT,Email_Sent
EMAIL_UNSUBSCRIBED,Email_unSubScripted
EXECUTED,Thực hiện
EXTERNAL_REQUEST,
Edit,Biên tập
Edit & Retry,
Edit Action,Chỉnh sửa hành động
Edit Application,Chỉnh sửa ứng dụng
Edit Blacklist,
Edit Campaign,Chỉnh sửa chiến dịch
Edit Campaign Template,Chỉnh sửa mẫu chiến dịch
Edit Candidate,Chỉnh sửa ứng cử viên
Edit Condition,
Edit Content,Chỉnh sửa nội dung
Edit Data Fields Layout,Chỉnh sửa bố cục trường dữ liệu
Edit Data Source,Chỉnh sửa nguồn dữ liệu
Edit Delay Time,
Edit Email Template,
Edit Flow,
Edit Flow Template,
Edit Grid Fields Layout,Chỉnh sửa bố cục trường lưới
Edit Grid Row Fields Layout,Chỉnh sửa bố cục trường hàng lưới
Edit Info,Chỉnh sửa thông tin
Edit Job Opening,
Edit Ladi Page,Chỉnh sửa trang Ladi
Edit Manual Talent,
Edit Page Info,Chỉnh sửa thông tin trang
Edit Page Information,
Edit Pool,Chỉnh sửa hồ bơi
Edit Profile,Chỉnh sửa hồ sơ
Edit QR Code,
Edit Quick Entry Layout,Chỉnh sửa bố cục nhập nhanh
Edit Schedule,
Edit Segment,Chỉnh sửa tiêu chí
Edit Stage,
Edit Step,Chỉnh sửa bước
Edit Tag,
Edit Talent,
Edit Talent Pool,Chỉnh sửa nhóm tài năng
Edit Template,Chỉnh sửa mẫu
Edit Template Info,
Edit Template Step,Chỉnh sửa bước mẫu
Edit Trigger,
Edit View,
Edit action,
Edit cancelled,
Edit connection settings,
Edit in Builder,
Edit many talent pool,
Edit step,Chỉnh sửa bước
Editing Configuration,
Editing Row {0},Chỉnh sửa hàng {0}
Editing configuration,
Editor not ready,
Education,
Education Level,Trình độ học vấn
Email,E-mail
Email 1,
Email 2,
Email Address,
Email Bounce,
Email Bounced,Email bị trả lại
Email Campaign,Chiến dịch email
Email Clicked,Email đã nhấp
Email Configuration,
Email Content,
Email Delivered,Email được gửi
Email Design,
Email Design JSON,
Email History,Lịch sử email
Email Interactions,Tương tác email
Email Log,Nhật ký email
Email Log Details,Chi tiết nhật ký email
Email Logs,Nhật ký email
Email Notification,
Email Notifications,
Email Nurturing,
Email Open,
Email Opened,Email đã mở
Email Opt Out,Email từ chối
Email Preview,
Email Preview with Sample Data,
Email Replied,
Email Reply,
Email Send Time,
Email Sent,Email đã gửi
Email Settings,Cài đặt email
Email Steps:,Các bước email:
Email Subject,
Email Template,
Email Template Editor,
Email Templates,
Email added to blacklist successfully,
Email and campaign_id are required.,Email và Chiến dịch_id được yêu cầu.
Email and marketing interactions will appear here.,
Email bounces (invalid email address),
Email content is empty.,
Email content is required,
Email delivery failed,
Email editor not ready,
Email from ivan document,
Email is required,
Email message,
Email người dùng *,
Email notifications,
Email removed from blacklist successfully,
Email sent successfully,
Email sequences for nurturing candidate relationships,
Email subject is required,
Email will be sent immediately,Email sẽ được gửi ngay lập tức
Email/SMS template content or task description,
Email:,
Embedding Text Source,
Embedding Vector,
Employee,
Employment Type,
Empty,
Empty - Choose a field to filter by,Trống - chọn một trường để lọc theo
Empty - Choose a field to sort by,Trống - chọn một trường để sắp xếp theo
Enable,Cho phép
Enable Cal.com Integration,
Enable Debug Mode,
Enable Forecasting,Cho phép dự báo
Enable calendar integration for automated interview scheduling,
Enable debug mode,
Enable detailed logging for troubleshooting,
Enable resume search,
Enabled,Đã bật
End Date,Ngày kết thúc
End Date/Time,
End Time,
Endpoint:,
Ends With,
Ends with,
Engagement,Hôn ước
Engagement Data,
Engagement Metrics,
Engagement Rate,Tỷ lệ tham gia
Engagement Score,Điểm tham gia
Engagement Score Updated,
Engagement Timeline,
Engagement Timeline (Days),
Engagement score milestone reached,
Engagement score threshold reached,
Engagement tag added,
Engagement tag removed,
English,
Enroll Type,
Enrolled At,Ghi danh tại
Enrollment Count,
Enrollment Source,
Enter AI-generated summary,Nhập tóm tắt do AI tạo
Enter ATS system name...,
Enter BCC recipients,Nhập người nhận BCC
Enter CC recipients,Nhập người nhận CC
Enter CTA URL,
Enter Company & Job Information,
Enter Company Information,
Enter Facebook link,
Enter JSON configuration...,Nhập cấu hình JSON ...
Enter LinkedIn link,
Enter SMS message template...,
Enter SMS message...,
Enter Tags separated by commas (e.g. Job Fair 2025...),
Enter TikTok link,
Enter TopCV synchronization ID,
Enter YouTube link,
Enter Zalo OA link,
Enter a name for your template...,
Enter action name,
Enter additional configuration as JSON,
Enter additional data as JSON...,
Enter avatar URL,Nhập url avatar
Enter campaign name,Nhập tên chiến dịch
Enter campaign name...,
Enter company mission,
Enter company name,
Enter company slogan,
Enter company vision,
Enter connection title,
Enter current position/title,Nhập vị trí/tiêu đề hiện tại
Enter data source name,Nhập tên nguồn dữ liệu
Enter delay in minutes...,
Enter description,
Enter detailed campaign description...,Nhập mô tả chiến dịch chi tiết ...
"Enter display name (e.g., Register Course)",
Enter email address,Nhập địa chỉ email
Enter email address to send test to:,
Enter email content,Nhập nội dung email
Enter email content...,
Enter email subject,Nhập chủ đề email
Enter email subject line...,
Enter email subject...,
Enter error details,Nhập chi tiết lỗi
Enter experience years,Nhập năm kinh nghiệm
Enter field name,
Enter full name,Nhập tên đầy đủ
Enter handoff data as JSON...,
Enter head office address,
Enter job benefits,
Enter job description,
Enter job requirements,
Enter job title,
"Enter location and press Enter (e.g. Hanoi, Ho Chi Minh City...)","Nhập vị trí và nhấn Enter (ví dụ: Hà Nội, Thành phố Hồ Minh ...)"
Enter maximum budget...,
Enter message template content...,
Enter minimum budget...,
Enter new value...,
Enter note,
Enter notes,Nhập ghi chú
Enter notes about the task execution...,Nhập ghi chú về thực thi nhiệm vụ ...
Enter notes for ATS team...,
Enter notification message...,
Enter notification title...,
Enter number of days...,
Enter number of positions,
Enter number...,
"Enter page title (e.g., Tuyển dụng Developer)",
Enter phone number,Nhập số điện thoại
Enter pool name...,
Enter reason for status change...,
Enter reason for stopping tracking...,
Enter recipients (comma-separated),Nhập người nhận (phân tách bằng dấu phẩy)
Enter result data as JSON or leave empty...,Nhập dữ liệu kết quả dưới dạng JSON hoặc để trống ...
Enter segment name...,Nhập tên tiêu chí ...
Enter sender email,Nhập email người gửi
Enter sequence ID,
Enter sequence ID to unsubscribe,
Enter short description,
Enter skill and press Enter,Nhập kỹ năng và nhấn Enter
"Enter skills separated by commas (e.g. React, Vue, Pinia...)","Nhập các kỹ năng được phân tách bằng dấu phẩy (ví dụ: React, Vue, Pinia ...)"
"Enter source (e.g. Hanoi, Ho Chi Minh City...)",
Enter step name...,Nhập tên bước ...
Enter tag (optional),
Enter tag color,
Enter tag name,
"Enter tag name (e.g., Webinar MBWN DMS 2110)",
Enter tag name...,
Enter template ID,
Enter template content for this step...,Nhập nội dung mẫu cho bước này ...
Enter template content...,
Enter template description...,Nhập mô tả mẫu ...
Enter template name,
Enter template name...,Nhập tên mẫu ...
Enter tenant name,
Enter the message to send...,
Enter the message...,
Enter title,
Enter trigger name,
Enter unsubscribe reason...,
Enter value,
Enter value...,
Enter website URL,
Enter work address,
Enter your API key,
Enter your API secret,
Enter your TopCV API Key,
Enter your TopCV Secret Key,
Enter your message text...,
Enter your message...,
Enter your post content...,
Enter {0},Enter {0}
Equals,Bằng nhau
Error,Lỗi
Error Details,Chi tiết lỗi
Error Loading Data,Lỗi tải dữ liệu
Error Loading Sequence,
Error Loading Template,
Error Log,
Error Message,
Error Rate,
Error Summary,
Error adding records to campaign. Please try again.,
Error creating campaign from template,
Error creating short URL: ,
Error deleting campaign,Chiến dịch xóa lỗi
Error deleting template,
Error generating QR code,
Error generating candidate template: {0},
Error in manual trigger: {0},
Error loading data,Lỗi tải dữ liệu
Error loading email template,
Error loading email template.,
Error loading email templates,
Error loading job data,
Error loading template,Lỗi tải mẫu
Error loading template data,
Error loading template.,
Error loading templates,Lỗi tải mẫu
Error occurred,
Error posting job to Facebook: {0},Công việc đăng lỗi lên Facebook: {0}
Error posting job to LinkedIn: {0},Công việc đăng lỗi cho LinkedIn: {0}
Error processing {0}: {1},
Error reading Excel file: {0},
Error reading file: {0},
Error removing record from campaign. Please try again.,
Error retrieving email template,
Error retrieving email templates,
Error saving Short URL: ,
Error saving step,Bước lưu lỗi
Error saving template,Mẫu lưu lỗi
Error sending test email: {0},
Error updating document,Lỗi cập nhật tài liệu
Error while refreshing data,
Error: {0},Lỗi: {0}
Errors Only,
Essential Information,
Estimated Time Remaining,
Evaluation,Sự đánh giá
Event Based,
Event Scheduling,
Event Source,
Event Types,
Event that triggers this flow,
Event triggers saved successfully,
Events that will activate automated actions,
Every 15 minutes,
Every 30 minutes,
Every 5 minutes,
Every 6 hours,
Every hour,
Every {0} minutes,Mỗi phút {0}
Everyone in your organization can see and use this template,
Exactly,Chính xác
Example: React Candidate Nurturing Q4/2024,Ví dụ: Ứng viên phản ứng nuôi dưỡng Q4/2024
"Example: React, Node.js, JavaScript",
"Example: creative_a, banner_1, job_title...",
Excel,Excel
Execute Next Flow,
Execute only if condition is met,
Executed,Thực hiện
Executed At,Thực hiện tại
Execution Condition,
Execution Order,
Execution Task,
Execution order,
Exit Fullscreen,
Expand,Mở rộng
Expected Salary,
Experience Level,
Experience Required is required,
Experience Years,Kinh nghiệm năm
Experience vs. Seniority,
Expired,
Expiry Date,
Export,Xuất
Export & Submit,Xuất khẩu và gửi
Export All {0} Record(s),Xuất tất cả {0} bản ghi
Export Contact,
Export Excel,
Export Type,Loại xuất khẩu
Export started. Download will begin shortly.,
Exprire At,
External Account ID,
External Connection,
External Connection ID,
External Connections,
External Platform Details,
External Post ID,
External Post URL,
External Request,
Extracted information:,
Extracting information from your resume...,
FACEBOOK,
FAILED,THẤT BẠI
FB_COMMENT,
FB_MESSAGE,
FB_REACTION,
FLOW,
FORM_SUBMITTED,Form_submited
Facebook,Facebook
Facebook Content Template,
Facebook Integration,
Facebook Page,
Facebook Page ID or Zalo OA ID,
Facebook Post,
Facebook Post Preview,
Facebook Post Template,
Facebook Profile,
Facebook pages loaded successfully,
Fail,Thất bại
Failed,Thất bại
Failed Calls,
Failed Count,
Failed to Import,
Failed to Load Pages,
Failed to add short link,
Failed to add tags,
Failed to apply AI generated content,
Failed to auto-save template,
Failed to auto-save template: ,
Failed to auto-sync pages,
Failed to cancel import: {0},
Failed to cancel position sync,
Failed to cancel share,
Failed to cancel sync,
Failed to connect to server,
Failed to copy URL,
Failed to copy link. Please copy manually.,
Failed to copy step,Không sao chép bước
Failed to copy to clipboard,
Failed to create,
Failed to create ATS connection,
Failed to create campaign,
Failed to create campaign from template,
Failed to create configuration,
Failed to create connection,
Failed to create draft campaign. Please try again.,Không thể tạo ra chiến dịch dự thảo. Hãy thử lại.
Failed to create flow from template,
Failed to create nurturing flows: ,
Failed to create page,
Failed to create receive data config: ,
Failed to create short URL,
Failed to create shortlink,
Failed to create steps from template. Please try again.,Không thể tạo các bước từ mẫu. Hãy thử lại.
Failed to create steps. Please try again.,Không tạo ra các bước. Hãy thử lại.
Failed to create tag,
Failed to create talent. Please try again.,
Failed to create template,
Failed to delete,
Failed to delete Ladi page,Không xóa trang ladi
Failed to delete QR Code,
Failed to delete configuration,
Failed to delete configuration from server,
Failed to delete import session,
Failed to delete receive data config: ,
Failed to delete session: {0},
Failed to delete shortlink,
Failed to delete social media post,
Failed to delete step,Không xóa bước
Failed to delete tag,
Failed to delete talent,
Failed to delete talent pool,
Failed to delete talent segment,
Failed to delete template,Không thể xóa mẫu
Failed to disconnect platform,
Failed to duplicate step,Không thể nhân đôi bước
Failed to duplicate tag,
Failed to export HTML,Không xuất khẩu HTML
Failed to export data,
Failed to export failed rows,
Failed to export failed rows: {0},
Failed to fetch statistics,
Failed to finalize template,
Failed to generate template: {0},
Failed to get email content,
Failed to get template fields: ,
Failed to load,
Failed to load ATS connections,
"Failed to load Mira Talent fields, using defaults",
Failed to load account details,
"Failed to load account details, proceeding without accounts:",
Failed to load blacklist,
Failed to load blacklist details,
Failed to load campaign data,
Failed to load company profiles,
Failed to load connection details for editing,
Failed to load connections,
Failed to load connections data,
Failed to load dashboard data,
Failed to load fields,
Failed to load form controller: {0},Không tải bộ điều khiển biểu mẫu: {0}
Failed to load history: {0},
Failed to load import history,
Failed to load page data,Không tải dữ liệu trang
Failed to load page details: ,
Failed to load position sync history,
Failed to load session details,
Failed to load sharing history,
Failed to load shortlinks: ,
Failed to load social post data,
Failed to load sync history,
Failed to load tag details,
Failed to load tags,
Failed to load template,Không tải mẫu
Failed to load template data,Không tải dữ liệu mẫu
Failed to load template preview,
Failed to move step,Không thể di chuyển bước
Failed to move tag down,
Failed to move tag up,
Failed to post job,
Failed to process bulk insert.,Không xử lý chèn số lượng lớn.
Failed to process file,
Failed to process upload: {0},
Failed to publish page,
Failed to queue {0} talent(s): {1},
Failed to reach candidate,
Failed to read file: {0},
Failed to refresh Facebook token after {0} attempts: {1},Không thể làm mới mã thông báo Facebook sau khi {0} cố gắng: {1}
Failed to refresh LinkedIn token after {0} attempts: {1},Không thể làm mới mã thông báo LinkedIn sau khi {0} cố gắng: {1}
Failed to refresh connection,
Failed to refresh connections,
Failed to refresh connections:,
Failed to refresh data,
Failed to refresh some data,
Failed to reload content,Không tải lại nội dung
Failed to remove from blacklist,
Failed to remove tag,
Failed to retry connection,
Failed to retry files: {0},
Failed to retry import,
Failed to retry position sync,
Failed to retry share,
Failed to retry sync,
Failed to save,
Failed to save QR Code,
Failed to save content,Không thể lưu nội dung
Failed to save content: ,
Failed to save data collection configuration,
Failed to save data. Please try again.,
Failed to save draft,
Failed to save email design,
Failed to save event triggers,
Failed to save settings,
Failed to save social configuration. Please try again.,
Failed to save social posts,
Failed to save talent pool,
Failed to save template,
Failed to save template: ,
Failed to save timeline messages,
Failed to save: ,
Failed to send email,
Failed to send information,Không gửi thông tin
Failed to send test email.,
Failed to send test email: ,
Failed to send test email: {0},
Failed to share job to Facebook,
Failed to start sync,
Failed to submit bulk delete request,
Failed to submit form,
Failed to sync accounts,
Failed to sync pages,
Failed to test connection,
Failed to update,
Failed to update campaign info,
Failed to update configuration,
Failed to update connection,
Failed to update data,
Failed to update job opening: ,
Failed to update page info,Không cập nhật thông tin trang
Failed to update password,Không cập nhật mật khẩu
Failed to update receive data config: ,
Failed to update short link,
Failed to update task: {0},Không cập nhật tác vụ: {0}
Failed to update template,
Failed to upload,
Failed to upload file. Please try again.,
Failed to upload files: {0},
Failed to upload image: ,
Failed to upload image: {0},
Fallback,Thất bại
Favicon,Favicon
Features,
Female,
Field,Trường
Field Mapping,
Field Mapping (JSON),
Field Mappings,
Field Mappings:,
Field Name,
Field Type,
Field Value,
Field mapping is required,
Field mapping not found in session,
Fields Order,Thứ tự trường
File,Tài liệu
"File ""{0}"" was skipped because of invalid file type","Tệp ""{0}"" đã bị bỏ qua vì loại tệp không hợp lệ"
"File ""{0}"" was skipped because only {1} uploads are allowed","Tệp ""{0}"" đã bị bỏ qua vì chỉ được phép tải lên {1}"
"File ""{0}"" was skipped because only {1} uploads are allowed for DocType ""{2}""","Tệp ""{0}"" đã bị bỏ qua vì chỉ được phép tải lên {1} được cho phép cho doctype ""{2}"""
File Attachments,
File Column,Cột tệp
File Details,
File Name,
File Preview,Xem trước tập tin
File Size (bytes),
File URL,
File is empty,
File is empty or cannot be read,
File size must be less than 10MB,
File size must be less than 5MB,
File type is not supported,
File type is too large ,
File type {0} is not supported,
File {0} is too large (max 10MB),
Files,
Fill in the information to customize your landing page,
Fill out information step by step.,
Filter,Lọc
Filter & Sync,
Filter Conditions,
Filter Talents,
"Filter by Email Sent, Email Opened, Link Clicked, Recruiter Messages.",
Filter by Segment (Optional),
Filter by status,
Filter by type,
Filters,Bộ lọc
Finalize Campaign,Hoàn thiện chiến dịch
Find Matches,Tìm các trận đấu
Find Matching Talents,
Finding matching talents...,
First 1 rows,
First Interaction,
First Interaction Datetime,
First Message Type,
First Name,Tên
First few rows from your file,
First name,Tên
First page,
Fixed Delay,
Flow,
Flow Action,
Flow Action Source,
Flow Configuration,
Flow Control,
Flow Management,
Flow Name,
Flow Parent ID,
Flow Step Completed,
Flow Template Library,
Flow Templates,
Flow Type,
Flow configuration (triggers & actions),
Flow created successfully,
Flow created successfully from template,
Flow created successfully from template!,
Flow is running,
Flows Created,
Follower Count,
Followers:,
Following Count,
Following talents do not exist: {0},
Form,Hình thức
Form Config ID,
Form ID,
Form Submission,
Form Submitted,
Formal,
Friendly,
From,
From Name,
From Template,
From User,Từ người dùng
From:,
Full Name,Tên đầy đủ
Full Name is required,
Full Name(ENC),
Full Name(Hash),
Full name,
Full name is required,
Fullscreen,
GOTO_ERROR_FLOW,
GOTO_NEXT_FLOW,
Gathering,
Gender,
General Notes,
General information,
Generate,
Generate Job Description AI,
Generate QR Code,
Generate With AI,
Generate job description AI,
Generate or retrieve your API Key and Secret Key,
Generating...,
Get AI-powered pool suggestions.,
Get started by creating a new flow.,
Get started by creating your first talent pool,Bắt đầu bằng cách tạo nhóm tài năng đầu tiên của bạn
Get the correct format for your data,
Get this from Cal.com API settings,
Get this from TopCV API settings,
"Ghi chú, mô tả bổ sung","Ghi Chú, mô tả bổ sung"
Giới hạn tin/ngày,
Go Back,
Go to Settings,
Google Calendar,
Graph,
Graph View,
Great opportunity to join our team!,
Greater Than,
Greater Than or Equal,
Greater than,
Group,
Group By,Nhóm theo
Group By Field,Nhóm theo trường
Group By: ,Nhóm bởi:
Gửi tin nhắn,
Gửi tin nhắn broadcast đến nhiều người dùng,
Gửi tin nhắn đến người dùng,
HANDOFF_TO_ATS,
HR Manager,
HR User,
HTML Content,Nội dung HTML
HTML exported successfully,HTML xuất khẩu thành công
Handoff Data (JSON),
Handoff to,
Handoff to ATS,
Hard Bounce,
Hard Skills,
Has URL CTA,
Has content,Có nội dung
Head Office,
Head Office Address,
Header name,
Header value,
Headers:,
Headhunter,
Headline,Tiêu đề
Health & Nurturing Action,
"Hi John, \n\nCan you please provide more details on this...","Xin chào John, \ n \ ncan, bạn vui lòng cung cấp thêm chi tiết về điều này ..."
Hi! Thanks for your interest in our job opening. How can we help you?,
Hide,
Hide BCC,
Hide CC,
Hide Help,Ẩn sự giúp đỡ
Hide Password,Ẩn mật khẩu
Hide Preview,
Hide Stage,
Hide border,Ẩn đường viền
Hide label,Ẩn nhãn
Hide preview,Ẩn xem trước
High,
High Availability Rate,
High School,Trường trung học
High engagement,
High hiring readiness rate,
High volume of active job seekers in Vietnam,
Higher score means better skill match with segment criteria,Điểm cao hơn có nghĩa là phù hợp với kỹ năng tốt hơn với tiêu chí phân khúc
Higher than overall score 85/100,
Highest Education,
Highlight job benefits...,
Highlight the benefits and what makes this role attractive,
Hired,Thuê
Hiring Quantity,
